City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
160,Shubarkuduk,KZ,71.53,overcast clouds,49.14,56.49,
161,Bambous Virieux,MU,68.25,moderate rain,-20.34,57.76,
162,Kraskino,RU,83.14,scattered clouds,42.71,130.78,
164,Abu Samrah,SY,76.6,clear sky,35.3,37.18,
166,Eatonton,US,78.39,overcast clouds,33.33,-83.39,
168,Sulangan,PH,84.99,overcast clouds,11.14,123.72,
170,Kijang,KR,81.43,scattered clouds,35.24,129.21,
171,Faanui,PF,77.81,light rain,-16.48,-151.75,
172,Half Moon Bay,US,79.32,few clouds,37.46,-122.43,
173,Norman Wells,CA,64.44,broken clouds,65.28,-126.83,
177,La Plaine,DM,78.44,broken clouds,15.33,-61.25,
181,Diamantino,BR,73.38,overcast clouds,-14.41,-56.45,
182,Bethel,US,75.11,light rain,41.37,-73.41,
183,Cortes,ES,69.6,broken clouds,41.94,-1.44,
184,Nurota,UZ,78.89,clear sky,40.56,65.69,
185,Cravo Norte,CO,76.78,few clouds,6.3,-70.2,
186,Hanzhong,CN,81.45,scattered clouds,33.07,107.03,
188,Georgiyevka,KZ,71.64,clear sky,43.04,74.71,
192,Nombre De Dios,MX,73.81,broken clouds,23.85,-104.23,
194,Sao Raimundo Das Mangabeiras,BR,78.12,scattered clouds,-7.02,-45.48,
195,Xining,CN,65.73,scattered clouds,36.62,101.77,
196,Fortuna,US,75.47,overcast clouds,40.6,-124.16,
197,Batemans Bay,AU,69.1,overcast clouds,-35.72,150.18,
201,Jacksonville,US,79.05,mist,30.33,-81.66,
202,Vung Tau,VN,85.48,scattered clouds,10.35,107.08,
203,Abnub,EG,78.93,clear sky,27.27,31.15,
204,Khasan,RU,82.51,scattered clouds,42.43,130.64,
205,Katobu,ID,84.07,broken clouds,-4.94,122.53,
207,Uvinza,TZ,62.78,scattered clouds,-5.1,30.39,
208,Tessalit,ML,85.42,broken clouds,20.2,1.01,
209,Neiafu,TO,70.48,light rain,-18.65,-173.98,
210,Namibe,AO,64.45,clear sky,-15.2,12.15,
213,Olga,RU,83.39,clear sky,43.74,135.29,
214,Tetiyiv,UA,64.72,overcast clouds,49.38,29.66,
217,Port Charlotte,US,84.25,clear sky,26.98,-82.09,
218,Baiyin,CN,76.82,clear sky,36.56,104.21,
219,Grandview,US,82.35,clear sky,38.89,-94.53,
220,Saint-Augustin,CA,60.49,overcast clouds,51.23,-58.65,
221,Vancouver,CA,75.09,clear sky,49.25,-123.12,
222,Turkistan,KZ,84.04,clear sky,43.0,68.0,
223,Pacific Grove,US,76.24,scattered clouds,36.62,-121.92,
224,Lasa,IT,61.54,broken clouds,46.62,10.7,
225,Genc,TR,67.42,clear sky,38.75,40.56,
228,Champua,IN,75.09,light rain,22.08,85.67,
229,Srivardhan,IN,80.94,overcast clouds,18.03,73.02,
230,Kavieng,PG,84.09,light rain,-2.57,150.8,
231,Tecpan,GT,60.12,broken clouds,14.76,-90.99,
232,Pingliang,CN,72.45,light rain,35.54,106.69,
233,Neryungri,RU,74.32,overcast clouds,56.67,124.65,
234,Yerbogachen,RU,84.6,clear sky,61.28,108.01,
236,Benguela,AO,68.61,broken clouds,-12.58,13.41,
237,Murgab,TM,76.87,clear sky,37.5,61.97,
238,Flinders,AU,73.18,broken clouds,-34.58,150.86,
239,Vila Velha,BR,73.35,clear sky,-20.33,-40.29,
241,Atambua,ID,85.17,broken clouds,-9.11,124.89,
242,Lamu,KE,75.7,broken clouds,-2.27,40.9,
243,Ambunti,PG,88.65,scattered clouds,-4.24,142.84,
244,Pundaguitan,PH,84.67,scattered clouds,6.37,126.17,
245,Westminster,US,87.44,few clouds,39.84,-105.04,
246,Agustin Codazzi,CO,72.16,scattered clouds,10.03,-73.24,
248,Bolobo,CD,69.01,clear sky,-2.17,16.23,
249,Umea,SE,60.91,clear sky,63.83,20.26,
250,Eyl,SO,78.57,overcast clouds,7.98,49.82,
251,Goreloye,RU,65.53,broken clouds,52.94,41.5,
252,Nhulunbuy,AU,81.21,broken clouds,-12.23,136.77,
253,Tanout,NE,79.29,overcast clouds,14.97,8.89,
254,Gopalur,IN,77.04,broken clouds,16.62,77.8,
255,Honiara,SB,84.33,overcast clouds,-9.43,159.95,
256,Saint Anthony,US,85.84,clear sky,45.02,-93.22,
258,Papar,MY,89.6,overcast clouds,5.73,115.93,
259,Shar,KZ,68.22,clear sky,49.59,81.05,
260,Shelburne,CA,64.27,clear sky,44.08,-80.2,
263,North Mankato,US,85.14,few clouds,44.17,-94.03,
264,Yushan,CN,84.09,light rain,31.38,120.95,
265,Visby,SE,63.77,overcast clouds,57.64,18.3,
266,Mogocha,RU,60.37,light rain,53.73,119.77,
268,Seminole,US,79.38,clear sky,28.71,-81.21,
269,Marawi,PH,84.65,overcast clouds,8.0,124.29,
270,Natitingou,BJ,69.96,light rain,10.3,1.38,
271,Bonthe,SL,76.57,overcast clouds,7.53,-12.51,
272,High River,CA,74.46,overcast clouds,50.58,-113.87,
273,Hobyo,SO,76.51,overcast clouds,5.35,48.53,
275,Rudnogorsk,RU,85.64,clear sky,57.26,103.75,
276,Ampanihy,MG,60.49,clear sky,-24.7,44.75,
277,Maxixe,MZ,62.65,clear sky,-23.86,35.35,
278,Cabo San Lucas,MX,87.1,clear sky,22.89,-109.91,
281,Uvalde,US,83.14,clear sky,29.37,-99.77,
282,Isla Mujeres,MX,82.45,few clouds,21.23,-86.73,
283,Lompoc,US,71.56,mist,34.64,-120.46,
285,Dong Hoi,VN,87.19,overcast clouds,17.48,106.6,
286,Durant,US,81.41,clear sky,33.99,-96.37,
287,Iwanai,JP,89.49,clear sky,42.97,140.51,
288,Aklavik,CA,61.52,light rain,68.22,-135.01,
291,Biak,ID,82.89,broken clouds,-0.91,122.88,
293,Zeya,RU,70.32,light rain,53.75,127.27,
294,Polovinnoye,RU,60.44,broken clouds,54.79,65.99,
296,Sao Caetano De Odivelas,BR,74.3,broken clouds,-0.75,-48.02,
298,Benghazi,LY,78.31,clear sky,32.12,20.07,
299,Evensk,RU,61.07,broken clouds,61.95,159.23,
302,Salalah,OM,77.09,light intensity drizzle,17.02,54.09,
305,Saint-Joseph,RE,66.58,light rain,-21.37,55.62,
308,Shimoda,JP,83.17,overcast clouds,34.67,138.95,
309,Xingcheng,CN,84.22,light rain,40.62,120.72,
310,Vanavara,RU,86.27,clear sky,60.34,102.28,
311,Pisco,PE,63.01,clear sky,-13.7,-76.22,
313,Agucadoura,PT,63.25,clear sky,41.43,-8.78,
314,Peleduy,RU,88.52,clear sky,59.63,112.74,
316,Kathmandu,NP,75.42,broken clouds,27.72,85.32,
317,Vao,NC,68.31,scattered clouds,-22.67,167.48,
318,San Patricio,US,84.83,few clouds,28.02,-97.52,
322,Nisia Floresta,BR,74.21,clear sky,-6.09,-35.21,
323,Buala,SB,83.64,light rain,-8.14,159.59,
324,Marsh Harbour,BS,83.35,scattered clouds,26.54,-77.06,
325,Boa Vista,BR,78.78,broken clouds,2.82,-60.67,
326,Los Llanos De Aridane,ES,69.55,overcast clouds,28.66,-17.92,
327,Caucaia,BR,80.04,few clouds,-3.74,-38.65,
328,Portland,US,84.2,scattered clouds,45.52,-122.68,
329,Bouca,CF,68.59,overcast clouds,6.51,18.27,
330,Urumqi,CN,81.55,clear sky,43.8,87.6,
332,Male,MV,82.06,light rain,4.17,73.51,
333,Rantepao,ID,81.14,overcast clouds,-2.97,119.9,
334,Labuhan,ID,84.78,clear sky,-6.88,112.21,
335,Sao Filipe,CV,73.83,clear sky,14.9,-24.5,
337,Sitka,US,60.69,broken clouds,57.05,-135.33,
338,Sioux Lookout,CA,64.94,clear sky,50.1,-91.92,
339,Ndele,CF,66.76,overcast clouds,8.41,20.65,
340,Xinyang,CN,74.86,light rain,32.12,114.07,
341,Manaure,CO,81.95,overcast clouds,11.78,-72.44,
343,Rudbar,AF,87.75,overcast clouds,30.15,62.6,
344,Zhigalovo,RU,82.2,broken clouds,54.81,105.16,
345,Faya,SA,63.12,broken clouds,18.39,42.45,
346,Negombo,LK,82.45,scattered clouds,7.21,79.84,
347,Athabasca,CA,67.15,clear sky,54.72,-113.29,
349,Kununurra,AU,89.58,few clouds,-15.77,128.73,
352,Adeje,ES,70.93,broken clouds,28.12,-16.73,
353,Nuwara Eliya,LK,62.56,overcast clouds,6.97,80.78,
355,Cururupu,BR,74.61,scattered clouds,-1.83,-44.87,
357,Cabedelo,BR,74.07,few clouds,-6.98,-34.83,
358,Prabumulih,ID,84.11,broken clouds,-3.45,104.25,
359,Yulara,AU,73.24,scattered clouds,-25.24,130.99,
360,Umarkot,PK,83.26,light rain,25.36,69.74,
362,Manggar,ID,83.52,overcast clouds,-2.88,108.27,
363,Boyolangu,ID,80.71,broken clouds,-8.12,111.89,
364,Humboldt,US,66.67,overcast clouds,40.67,-123.92,
365,Bud,US,77.56,clear sky,39.45,-86.18,
366,Fairbanks,US,60.1,light rain,64.84,-147.72,
367,Bac Lieu,VN,87.78,scattered clouds,9.29,105.72,
368,Renqiu,CN,78.31,light rain,38.7,116.09,
369,Mandalay,MM,82.49,overcast clouds,21.97,96.08,
370,Riwaka,NZ,60.44,clear sky,-41.08,173.0,
371,Krasna Lipa,CZ,64.76,overcast clouds,50.48,13.36,
372,Luanda,AO,71.42,light rain,-8.84,13.23,
373,Isabela,PH,88.39,few clouds,6.71,121.97,
374,Kurilsk,RU,72.41,few clouds,45.23,147.88,
376,Dwarka,IN,82.63,overcast clouds,22.24,68.97,
378,Batagay,RU,60.57,clear sky,67.63,134.63,
379,Bakel,SN,85.17,overcast clouds,14.9,-12.46,
380,Gigmoto,PH,87.01,overcast clouds,13.78,124.39,
381,Grants,US,66.43,overcast clouds,35.15,-107.85,
382,Dombarovskiy,RU,68.23,scattered clouds,50.76,59.54,
383,Durres,AL,68.18,clear sky,41.32,19.44,
384,Bucerias,MX,77.99,scattered clouds,20.75,-105.33,
385,Yenagoa,NG,72.14,overcast clouds,4.92,6.26,
386,Le Vauclin,MQ,79.84,few clouds,14.55,-60.84,
